# ----------------------------------------
# Páginas e telas: Título da página e nome da tela
# Conta: Viva Fidelidade
# Propriedade: Viva Fidelidade 1.5
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20250101
# Data de término: 20260524
Título da página e nome da tela,Página de destino + string de consulta,Visualizações,Usuários ativos,Visualizações por usuário ativo,Tempo médio de engajamento por usuário ativo,Contagem de eventos,Eventos principais,Receita total
(not set),/selectTrip?originCode=39156&origin=BREJO%20SANTO%20-%20CE&destinationCode=48576&destination=JUAZEIRO%20DO%20NORTE%20-%20CE&departureDate=2026-03-20,40,2,20,692.5,68,19,0
(not set),/selectTrip?originCode=50604&origin=FORTALEZA%20-%20CE&destinationCode=48679&destination=SOBRAL%20-%20CE&departureDate=2025-09-26,39,5,7.8,342.4,77,9,0
(not set),/selectTrip?originCode=43971&origin=FORTALEZA%20(TA%20MESSEJANA)%20-%20CE&destinationCode=50927&destination=NATAL%20-%20RN&departureDate=2026-05-03,38,1,38,1314,91,17,0
(not set),/selectTrip?originCode=47830&origin=CRISTOPOLIS%20-%20BA&destinationCode=50232&destination=SALVADOR%20-%20BA&departureDate=2026-03-26,38,1,38,716,74,10,0
(not set),/selectTrip?originCode=48576&origin=JUAZEIRO%20DO%20NORTE%20-%20CE&destinationCode=50816&destination=JOAO%20PESSOA%20-%20PB&departureDate=2026-02-15,38,1,38,318,84,12,0
(not set),/selectTrip?originCode=48696&origin=ITAPAJE%20-%20CE&destinationCode=50604&destination=FORTALEZA%20-%20CE&departureDate=2025-08-22,38,1,38,679,85,16,0
(not set),/selectTrip?originCode=50604&origin=FORTALEZA%20-%20CE&destinationCode=48679&destination=SOBRAL%20-%20CE&departureDate=2026-05-05,38,2,19,691.5,73,15,0
(not set),/parceiros/,37,6,6.166666666666667,139.66666666666666,62,3,0
(not set),/selectTrip?originCode=&origin=Quixeramobim%20&destinationCode=&destination=Quixada&departureDate=2025-07-02,37,1,37,355,71,7,0
(not set),/selectTrip?originCode=48576&origin=JUAZEIRO%20DO%20NORTE%20-%20CE&destinationCode=39245&destination=IGUATU%20-%20CE&departureDate=2026-05-10,37,1,37,788,80,13,0
(not set),/selectTrip?originCode=49495&origin=RIO%20DE%20JANEIRO%20-%20RJ&destinationCode=49560&destination=BELO%20HORIZONTE%20-%20MG&departureDate=2026-01-09,37,1,37,880,72,18,0
(not set),/selectTrip?originCode=48679&origin=SOBRAL%20-%20CE&destinationCode=48653&destination=PARNAIBA%20-%20PI&departureDate=2025-11-20,36,1,36,481,73,11,0
(not set),/selectTrip?originCode=48688&origin=JIJOCA%20DE%20JERICOACOARA%20-%20CE&destinationCode=50604&destination=FORTALEZA%20-%20CE&departureDate=2025-09-07,36,1,36,2709,62,19,0
(not set),/selectTrip?originCode=QUIXADA%20-%20CE&destinationCode=FORTALEZA%20-%20CE&departureDate=2024-10-29,36,1,36,1167,70,10,0
(not set),/selectTrip?originCode=39222&origin=VARZEA%20ALEGRE%20-%20CE&destinationCode=43626&destination=ACOPIARA%20-%20CE&departureDate=2025-12-12,35,1,35,213,76,11,0
(not set),/selectTrip?originCode=45775&origin=JUIZ%20DE%20FORA%20-%20MG&destinationCode=49495&destination=RIO%20DE%20JANEIRO%20-%20RJ&departureDate=2025-12-20,35,1,35,578,84,10,0
(not set),/selectTrip?originCode=48653&origin=PARNAIBA%20-%20PI&destinationCode=48687&destination=CAMOCIM%20-%20CE&departureDate=2025-09-05,35,1,35,501,62,8,0
(not set),/selectTrip?originCode=50039&origin=TERESINA%20-%20PI&destinationCode=48679&destination=SOBRAL%20-%20CE&departureDate=2025-09-23,35,2,17.5,1058.5,88,7,0
(not set),/selectTrip?originCode=50604&origin=FORTALEZA%20-%20CE&destinationCode=39245&destination=IGUATU%20-%20CE&departureDate=2026-03-27,35,1,35,125,69,1,0
(not set),/selectTrip?originCode=JUAZEIRO%20DO%20NORTE%20-%20CE&destinationCode=FORTALEZA%20-%20CE&departureDate=2025-04-13,35,1,35,985,69,13,0
(not set),/selectTrip?originCode=POMBAL%20-%20PB&destinationCode=FORTALEZA%20-%20CE&departureDate=2025-01-10,35,1,35,896,66,11,0
(not set),/selectTrip?originCode=SHOPPING%20INDEPENDENCIA%20-%20MG%20(term%20adicional%20de%20JUIZ%20DE%20FORA)&destinationCode=RIO%20DE%20JANEIRO%20-%20RJ&departureDate=2025-02-11,35,1,35,804,57,13,0
(not set),/selectTrip?originCode=SOBRAL%20-%20CE&destinationCode=FORTALEZA%20-%20CE&departureDate=2025-04-04,35,3,11.666666666666666,305.6666666666667,66,8,0
(not set),/auth/register?ref=17C697,34,1,34,879,69,10,0
(not set),/selectTrip?originCode=42951&origin=FORTALEZA%20(TA%20ANTONIO%20BEZERRA)%20-%20CE&destinationCode=48690&destination=BELA%20CRUZ%20-%20CE&departureDate=2026-02-27,34,1,34,471,63,8,0
(not set),/selectTrip?originCode=48576&origin=JUAZEIRO%20DO%20NORTE%20-%20CE&destinationCode=50604&destination=FORTALEZA%20-%20CE&departureDate=2026-03-16,34,1,34,1282,77,14,0
(not set),/selectTrip?originCode=48679&origin=SOBRAL%20-%20CE&destinationCode=50604&destination=FORTALEZA%20-%20CE&departureDate=2026-03-28,34,1,34,720,70,16,0
(not set),/selectTrip?originCode=50138&origin=SAO%20LUIS%20-%20MA&destinationCode=48151&destination=SANTA%20QUITERIA%20DO%20MARANHAO%20-%20MA&departureDate=2026-05-11,34,1,34,1002,67,10,0
(not set),/selectTrip?originCode=50604&origin=FORTALEZA%20-%20CE&destinationCode=48679&destination=SOBRAL%20-%20CE&departureDate=2026-05-01,34,2,17,470,57,13,0
(not set),/selectTrip?originCode=IGUATU%20-%20CE&destinationCode=FORTALEZA%20-%20CE&departureDate=2025-04-01,34,1,34,1067,66,13,0
(not set),/selectTrip?originCode=VOLTA%20REDONDA%20-%20RJ&destinationCode=VALENCA%20-%20RJ&departureDate=2025-02-14,34,1,34,549,57,8,0
(not set),/selectTrip?originCode=&origin=Volta%20redonda%20&destinationCode=&destination=Valen%C3%A7a%20&departureDate=2025-06-24,33,1,33,483,61,7,0
(not set),/selectTrip?originCode=47299&origin=BRAGANCA%20PAULISTA%20-%20SP&destinationCode=37443&destination=OURO%20PRETO%20-%20MG&departureDate=2025-07-28,33,1,33,86,71,1,0
(not set),/selectTrip?originCode=50604&origin=FORTALEZA%20-%20CE&destinationCode=39245&destination=IGUATU%20-%20CE&departureDate=2025-10-07,33,1,33,1075,62,8,0
(not set),/selectTrip?originCode=50816&origin=JOAO%20PESSOA%20-%20PB&destinationCode=43131&destination=CAJAZEIRAS%20-%20PB&departureDate=2025-06-20,33,1,33,794,62,13,0
(not set),/selectTrip?originCode=FORTALEZA%20-%20CE&destinationCode=SOBRAL%20-%20CE&departureDate=2025-01-24,33,1,33,284,67,15,0
(not set),/selectTrip?originCode=IGUATU%20-%20CE&destinationCode=FORTALEZA%20-%20CE&departureDate=2025-02-28,33,1,33,1882,81,10,0
(not set),/selectTrip?originCode=MACEIO%20-%20AL&destinationCode=TERESINA%20-%20PI&departureDate=2025-02-21,33,1,33,709,65,17,0
(not set),/selectTrip?originCode=39124&origin=JARDIM%20-%20CE&destinationCode=48576&destination=JUAZEIRO%20DO%20NORTE%20-%20CE&departureDate=2026-05-11,32,1,32,1307,74,13,0
(not set),/selectTrip?originCode=47967&origin=IMPERATRIZ%20-%20MA&destinationCode=50039&destination=TERESINA%20-%20PI&departureDate=2026-04-29,32,1,32,990,60,14,0
